country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,,,11.8k,12.1k,12.7k,13.7k,14.5k,14.6k,14.8k,15.1k,15.9k,17.1k,17.6k,18.9k,19.9k,21.1k,22.4k,24.6k,26.3k,25.8k,25.8k,26.7k,27.4k,28.9k,30.3k,31.6k,33.7k,36.6k,38.9k,40.3k,40.2k
Germany,19.7k,21.1k,21.8k,21.9k,22.8k,23.5k,24.1k,24.5k,25.2k,26.1k,27.1k,28.2k,28.9k,29.6k,31.5k,32.1k,34.7k,36.8k,38.2k,37.6k,39.7k,43.6k,44.4k,46k,48k,48.7k,51.8k,54.3k,57k,57.5k,56.4k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,4050,4240,4520,4550,4660,5090,5610,5610
Dominica,4190,4340,4540,4760,4760,4970,5140,5420,5780,5720,5750,6160,6000,6510,6780,7100,7980,8630,9490,9570,9830,9980,9750,9750,11.7k,10.7k,11.6k,11.1k,11.8k,12.7k,11.2k
Denmark,17.6k,18.4k,19.2k,19.7k,21.2k,22.3k,23.3k,24.5k,25.4k,26.4k,28k,29k,30.3k,30.5k,33k,34.4k,37.8k,39.2k,41.7k,40.7k,43.7k,45.3k,45.8k,48.2k,49.6k,50.5k,53.3k,56.6k,59.1k,60.4k,62.3k
Dominican Republic,3540,3620,4030,4280,4440,4710,5030,5490,5820,6140,6480,6680,6990,6760,6910,7920,8830,9600,10.1k,10.2k,11k,11.4k,11.4k,11.9k,12.8k,14.1k,15.4k,15.9k,17.4k,18.3k,17.1k
Algeria,6660,6500,6690,6630,6530,6710,6970,7120,7490,7690,8030,8520,8930,9650,10.1k,10.8k,11.3k,12.1k,12.5k,12.6k,13.1k,13.4k,13.1k,12.8k,12.7k,11.7k,11.5k,11.6k,11.6k,11.7k,11.1k
Ecuador,4440,4750,4920,5060,5290,5420,5480,5720,5820,5370,5450,5790,6050,6210,6760,7270,7720,7960,8630,8640,8960,9710,10.2k,11k,11.5k,10.9k,10.8k,11.3k,11.5k,11.5k,10.6k
Egypt,3620,3820,3990,4110,4280,4490,4710,4950,5200,5460,5820,6080,6150,6330,6630,7010,7640,8290,8890,9140,9330,9440,10.8k,10.9k,10.6k,11.3k,11k,10.8k,11.3k,11.8k,12.2k
Eritrea,,,810,950,1190,1270,1390,1540,1590,1600,1530,1630,1630,1540,1530,1560,1550,1570,1410,1450,1470,1610,,,,,,,,,
Spain,13.5k,14.3k,14.7k,14.9k,15.3k,16.1k,16.7k,17.7k,18.9k,19.8k,21.4k,22.6k,24.1k,24.8k,25.9k,27.2k,30.1k,31.7k,32.3k,31.5k,31.2k,31.3k,31.5k,32.2k,33.4k,34.9k,37.4k,39.5k,40.8k,41.8k,38k
Estonia,,,,,,,,,,,9070,9810,11.1k,12.4k,13.7k,15.9k,18.3k,20.5k,21.6k,20k,20.6k,23.5k,25.1k,27k,28.3k,28.8k,30.9k,33k,35.7k,37.5k,37.6k
Ethiopia,410,380,340,380,390,410,460,460,440,460,480,520,520,500,570,640,710,790,870,930,1020,1130,1210,1280,1510,1650,1870,2010,2140,2300,2410
Finland,17.8k,17.1k,16.6k,16.6k,17.7k,19k,19.6k,21.5k,23.1k,24.5k,26.6k,27.8k,28.7k,28.9k,31.4k,32.2k,34.8k,38k,40.1k,38.4k,39.5k,41.1k,41.1k,41.7k,42.2k,42.9k,45.1k,47.6k,49.8k,50.6k,51.4k
Fiji,4050,4060,4340,4470,4660,4960,5270,5160,5150,5650,5950,6010,6400,6520,7040,7380,7280,7460,7590,7620,7670,8010,8510,9350,10.8k,11.7k,11.9k,12.4k,13.3k,13.1k,11.3k
France,17.7k,18.4k,19k,19.3k,20.1k,20.8k,21.5k,22.5k,23.7k,24.8k,26.5k,28k,28.8k,28.6k,29.5k,31k,33.1k,34.8k,35.9k,35.5k,36.7k,38.4k,38.5k,40.4k,41k,41.7k,43.8k,45.6k,47.7k,50.1k,47.7k
"Micronesia, Fed. Sts.",,,,2360,2350,2420,2360,2180,2250,2380,2550,2660,2710,2800,2830,3010,3120,3190,3160,3340,3380,3530,3550,3540,3470,3980,3930,3960,3630,4020,3960
Gabon,11.2k,11.9k,11.2k,11.4k,12.1k,12.4k,12.8k,13.4k,14k,12.5k,11.8k,12.3k,12.7k,12.6k,12.1k,13.3k,12.5k,13k,12.5k,12.6k,12.9k,13.5k,13.8k,13.7k,14.6k,13.5k,13.2k,14.1k,14.1k,14.3k,14.3k
United Kingdom,17.4k,17.8k,18.5k,19.3k,20.8k,20k,21.2k,22.7k,23.8k,24.4k,26.6k,28k,29.4k,30.7k,32.4k,33.2k,34.9k,35.5k,36.5k,34.9k,36.6k,37.5k,38.1k,39.4k,40.7k,41.9k,43.5k,45.8k,46.9k,48.8k,45.9k
Georgia,,,2580,1830,1700,1800,2160,2660,2890,3080,3140,3400,3660,4170,4610,5220,5980,6830,7100,6960,7430,8120,9720,10.4k,11.4k,11.8k,12.3k,12.9k,14k,14.9k,14.1k
Ghana,1220,1290,1340,1390,1430,1480,1530,1580,1640,1690,1740,1810,1880,1960,2080,2220,2380,2490,2700,2780,2920,3270,3590,5150,5280,5050,4800,4860,5200,5540,5930
